% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 18:16"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity,Average conductivity
1568.9909980498392,1.205010142297761,1.3179523431356128,1.3161686925968008,1.3142699008352727,1.3119977952678812,1.3093792881101445,1.3063969124074157,1.3031860236537847,1.2997188300572557,1.2959733506878732,1.2921638827597937,1.287958945290953,1.2834038421485696,1.2785963817040409,1.273489970388465,1.2681285841537975,1.262506024876474,1.2566207212218368,1.2505033199334137,1.2441406479650732,1.2375280585928843,1.2307063951714625,1.2237386264048395,1.2165004286455765,1.2090299355770882,1.201428285806005,1.193766938549738,1.1859903965658425,1.1778952139418106,1.1697324780243115,1.161474294433158,1.153214865427143,1.1447737510502518,1.136237573442048,1.1277129806441868,1.119140711372108,1.1106099399822906,1.1022685800680572,1.0936204354046284,1.0850388364814856,1.0766381394433044,1.0680281672945104
1647.4405479523311,1.205010142297761,1.3179631667110754,1.3161761868298432,1.3142997299698944,1.3119963734407787,1.309373136556278,1.306387615249127,1.3031794152597922,1.2997102152905842,1.2960452458838796,1.2922158007295794,1.2879919647570293,1.2834282314351741,1.2786174480771135,1.2735084095586302,1.2681456276735423,1.2625224766585725,1.2566372820332947,1.2505187294245919,1.2441568775708711,1.2375463702397782,1.2307264702261134,1.2237516593000195,1.2165213992078212,1.2090554868453516,1.201460535000157,1.193802035825201,1.1860241649417682,1.1779399812023061,1.1697848317457338,1.1615331113732517,1.1532804790706497,1.144845623428483,1.136316441122731,1.1278001586384496,1.1192354579094834,1.1106707023922073,1.1023391385388572,1.093711084033234,1.085142818963873,1.0767430903219115,1.0681543199144823
1725.8900978548231,1.2050101422977613,1.3179766327620286,1.3161854908469017,1.3143274792098845,1.3119912152469038,1.3093637813208283,1.3063761600239625,1.3031711749402994,1.299700010249091,1.296116197451586,1.2922636084353285,1.288021372740156,1.2834493074509876,1.2786354766081567,1.2735241916959266,1.2681602603953122,1.262536851048891,1.256652017797904,1.2505323941478925,1.2441715578782655,1.2375635653598993,1.2307456381780655,1.2237634827133805,1.2165414654178597,1.2090808083237337,1.2014931434196257,1.1938368800627033,1.1860561968889258,1.1779841076049788,1.1698372615480466,1.16159270437644,1.1533475171543588,1.1449195302809299,1.1363980438637524,1.1278899016377295,1.1193338151659296,1.110737454391637,1.1024110388913284,1.0938042534580295,1.0852502288186687,1.0768502476544723,1.0682832355262932
1804.339647757315,1.2050101422977608,1.317992700333927,1.3161966390479218,1.3143529316368103,1.3119825707100012,1.3093514889400522,1.306362793115243,1.3031615018007972,1.2996884529464883,1.296185503841406,1.2923074417892013,1.288047374626894,1.2834673299354156,1.2786507463694838,1.2735376087466543,1.2681728221906954,1.2625494758896347,1.2566652671096632,1.250544702281584,1.2441850839392967,1.2375800525621838,1.2307643383281957,1.2237745927376023,1.2165611334549846,1.209106420101389,1.201526592618043,1.1938720116599204,1.1860870289713803,1.178028078287654,1.1698902978973407,1.1616536443557963,1.153416509101289,1.14499598378934,1.1364828663358917,1.1279828213964829,1.119436360160717,1.1108108229922804,1.1024851892726544,1.0939007226453912,1.0853617882782283,1.0769602749249165,1.0684156840947514
1882.7891976598069,1.2050101422977604,1.3180110922835286,1.3162094586699804,1.3143756158149194,1.3119705089185907,1.309336389305501,1.306347632146787,1.3031504391553326,1.2996756108593897,1.2962519991441714,1.2923469041046916,1.2880698079395654,1.283482229298522,1.2786632140324992,1.2735486291050797,1.2681832949263858,1.2625603314304465,1.2566770085088084,1.2505556675847262,1.2441974660548942,1.2375958309718167,1.2307825792938352,1.2237851171689247,1.2165804626714787,1.2091323429561631,1.2015608435391925,1.1939074823491351,1.1861168584365676,1.1780719558797228,1.1699439393496558,1.1617158984077356,1.1534873872528872,1.1450749005982934,1.1365707961741138,1.1280788395366166,1.1195429864585813,1.110891012048623,1.1025620111764163,1.0940006592477347,1.08547754563222,1.077073454169677,1.068551784102714
1961.238747562299,1.2050101422977613,1.318031423608045,1.3162236977803685,1.3143946829345043,1.3119550152458685,1.309318583026955,1.306330783945598,1.303137988814785,1.2996615196874894,1.2963137380843044,1.292381285696445,1.2880883410493624,1.2834938221190073,1.278672737062879,1.273557132749122,1.2681915768585788,1.262569319957548,1.256687144313434,1.2505652425927347,1.2442086476315368,1.237610829646696,1.2308003162980612,1.223795171678445,1.2165994758500582,1.2091585211737697,1.2015957418948437,1.1939432938371148,1.1861458998804988,1.178115747781974,1.16999808340441,1.161779307982006,1.1535599527716036,1.1451560543293857,1.1366615667951332,1.1281777518297555,1.119653443218783,1.1109783273602705,1.1026420004797273,1.0941041799575604,1.085597425625949,1.077190088904766,1.0686915347922468
2039.688297464791,1.205010142297761,1.3180532005704535,1.3162390731614007,1.3144085985323644,1.3119361073401532,1.3092982949726921,1.306312503617449,1.303124222457091,1.2996463358735273,1.2963675694533736,1.292409493874245,1.2881025237780395,1.2835019125661709,1.2786791981635641,1.2735630512425569,1.2681976415908842,1.2625764190853956,1.2566956593299248,1.2505734770998584,1.2442186964053406,1.2376250776578688,1.2308175971059219,1.223805132521778,1.2166183547035831,1.2091850683517282,1.2016313162286831,1.1939796350174858,1.18617469868329,1.1781596153861853,1.1700527868123405,1.1618438353013694,1.1536341046144938,1.1452392980171155,1.13675496956888,1.1282794345796139,1.1197675457496499,1.1110734293941305,1.102726181900259,1.0942116444872525,1.0857215888685212,1.0773108759475392,1.068835197109186
2118.137847367283,1.2050101422977604,1.3180756414003942,1.316255097572485,1.3144161908323078,1.3119141704507318,1.3092760360764657,1.3062932265502354,1.3031093438611816,1.2996303444004451,1.2964105549310587,1.2924305844339836,1.2881120250643276,1.2835064174269464,1.2786825894480192,1.2735664081579983,1.268201540429962,1.262581677462701,1.2567026014731535,1.2505804912258893,1.2442277583014825,1.2376386665693055,1.2308345290429998,1.2238154816142548,1.2166373833837643,1.2092121726249587,1.201667624532733,1.194016779627377,1.1862040517915593,1.1782039318845414,1.1701082753798036,1.161909580251448,1.1537098600261144,1.145324598646341,1.1368508873479388,1.1283838661409795,1.1198851740239923,1.1111768445461265,1.10281594705872,1.0943237423759429,1.085850461717091,1.0774368723616141,1.0689834176920463
2196.587397269775,1.2050101422977608,1.3180982139290462,1.3162713445120238,1.3144169586827894,1.311889292349968,1.3092518617030646,1.306272896386401,1.3030931632667184,1.2996133716405034,1.296441472128597,1.2924440810260078,1.2881164847969555,1.2835070150079484,1.2786825843218794,1.2735668507974447,1.268202897879273,1.2625846921227,1.256707544193219,1.2505858518927482,1.2442354027605744,1.2376511140130455,1.2308506169089757,1.2238258392182697,1.2166561147270158,1.2092393161242068,1.2017040822733498,1.1940541972039411,1.1862336894883991,1.1782482245166002,1.1701640035506105,1.1619759088123507,1.1537865426205962,1.145411227505946,1.1369485362251246,1.1284903101236499,1.1200054969272186,1.1112877199020503,1.102911025169599,1.0944399444943687,1.0859834255001097,1.0775676496675615,1.069135659656364
2275.036947172267,1.2050101422977608,1.3181207287090584,1.316287689507515,1.3144108278307574,1.3118616577864775,1.3092259304128333,1.3062516139364007,1.3030757108997448,1.2995954750941032,1.296460065520245,1.2924499386280497,1.288115889418735,1.283503706378824,1.2786791920185319,1.2735643812525403,1.2682017091284026,1.2625854436070145,1.2567104597125631,1.250589524834048,1.24424161590191,1.2376623840265353,1.2308658195564472,1.223836230978949,1.216674551465291,1.2092664778557864,1.2017406473528078,1.1940918585755027,1.1862637375929403,1.1782925287554025,1.170219980603124,1.1620427971094238,1.1538641239071354,1.145499127974207,1.1370478462173454,1.128598706513744,1.1201283870611765,1.1114058251184156,1.1030115561745892,1.0945603045376868,1.086120504436137,1.0777033025610794,1.0692920391391127
