% Model,EMSI_model_V1_C_rate_0.5_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:02"
% Dimension,0
% Nodes,210
% Expressions,20
% Description,"Cell potential, Porosity anode, Porosity separator, Porosity cathode, Total strain anode, Total strain separator, Total strain cathode, Inelastic strain anode, Inelastic strain separator, Inelastic strain cathode, Elastic strain anode, Elastic strain separator, Elastic strain cathode, Average SOC anode, Average SOC cathode, SOL_graphite, SOL_silicon, Reservoir volume, Stack volume, Stack pressure"
% t,liion.cdc1.phis0 (V),aveop_an(dl.epsilon) (1),aveop_sep(dl.epsilon) (1),aveop_ca(dl.epsilon) (1),aveop_an(solid.evol) (1),aveop_sep(solid.evol) (1),aveop_ca(solid.evol) (1),aveop_an(solid.dvolic) (1),aveop_sep(solid.dvolic) (1),aveop_ca(solid.dvolic) (1),aveop_an(solid.eelvol) (1),aveop_sep(solid.eelvol) (1),aveop_ca(solid.eelvol) (1),liion.soc_average_pce1 (1),liion.soc_average_pce2 (1),sol_gr(liion.soc_average_pce1),sol_si(liion.soc_average_pce1),V_l_res (m^3),intop2(dl.epsilon*(1+solid.evol))*d_cell (m^3),boundary_load_dynamic (Pa)
1200,3.5853732594891596,0.21817888350810571,0.3925491945627342,0.21667987824215412,0.022354027308831483,-0.012265693008593337,-0.006026443409141071,0.02848621414430302,0,-0.0011204073699528669,-0.006132855440916479,-0.012265693008593337,-0.0049062816402136635,0.14360560232320224,0.824707386186175,0.05502678539483362,0.4871075502142202,5.789592616143847E-8,7.040681819485071E-7,2455231.1889912197
1260,3.5954753317313197,0.21729837221580997,0.39217378651834517,0.21653202697882995,0.02349715547554302,-0.012875741434587886,-0.006365507533158196,0.02993426762993329,0,-0.001215356165187317,-0.006437893687374559,-0.012875741434587886,-0.005150296602196427,0.15068894816575001,0.8188402189993624,0.057146883547908846,0.5134562514465986,5.931221495550752E-8,7.026477273766106E-7,2577231.8284194195
1320,3.60599467143341,0.21642730411620265,0.39180022186342667,0.21638273268650962,0.024629110193958217,-0.01348204675143503,-0.006697561564039167,0.031369156731552536,0,-0.0013048438044469214,-0.006741033656867356,-0.01348204675143503,-0.00539281866808099,0.15777227222874243,0.8129730670699626,0.05919640965428495,0.540097314505131,6.072003977757842E-8,7.01236258880119E-7,2698463.080100464
1380,3.6163566475023443,0.21556539749854672,0.39142883266537154,0.2162328539540527,0.025750822063395466,-0.01408408336113541,-0.007024007287044104,0.0327917229475277,0,-0.0013904299305044657,-0.0070420979961165545,-0.01408408336113541,-0.005633633249955962,0.16485559463383231,0.8071059114369992,0.0616381652305903,0.5650914617216746,6.211823491067219E-8,6.998344177873946E-7,2818884.680741725
1440,3.62632177396878,0.21470093366533238,0.39105444807353035,0.2160803638994794,0.02687730141242189,-0.014690232346383263,-0.007349397941090111,0.03422111229834604,0,-0.0014733588936792063,-0.007345087399050589,-0.014690232346383263,-0.005876092803914306,0.1719389313671185,0.8012387563226832,0.06509588719853487,0.5862808390507924,6.352545362887065E-8,6.984230870458006E-7,2940110.527472091
1500,3.636026544870838,0.213840058845839,0.39068037241166237,0.21592734624443133,0.027999713045199492,-0.01529513718771346,-0.00767251683120581,0.035646621200434325,0,-0.0015545234000638134,-0.0076475894897646765,-0.01529513718771346,-0.00611805479122076,0.17902227460082362,0.7953715930481965,0.06821766763924011,0.6089449887235631,6.493201977698065E-8,6.970132536768081E-7,3061121.0115382555
1560,3.6456687075492074,0.21296619451188567,0.39029887647780287,0.21577012032170068,0.029140966310862916,-0.015911276591223485,-0.007998951433118736,0.03709641914083437,0,-0.0016345075666992308,-0.007955643223513359,-0.015911276591223485,-0.006364508995695783,0.18610560480905194,0.7895044381826138,0.07219290958080579,0.627664468941031,6.636395408743204E-8,6.95577461650201E-7,3184382.769924191
1620,3.6549789222481057,0.21208152923939416,0.38991122520718496,0.21560927655588136,0.030296177347132223,-0.016536567935678845,-0.008327773895261292,0.038565663388186774,0,-0.001713202103711497,-0.008268273628614932,-0.016536567935678845,-0.006614627689067995,0.19318894122048605,0.7836372945100183,0.07719081041063916,0.6430409439407667,6.781861262630856E-8,6.941188995635516E-7,3309472.408532198
1680,3.66352753842313,0.2111957051636705,0.38952127115715857,0.21544647399428066,0.031454241273838654,-0.01716477252176545,-0.00865582407811297,0.04003936152615577,0,-0.0017899430400884603,-0.008582383523419827,-0.01716477252176545,-0.006865908910756967,0.20027227330291758,0.7777701481616166,0.08216893514833973,0.6582947836930264,6.928030163638791E-8,6.926534492552547E-7,3435103.218197383
1740,3.6713190943609555,0.21031800736757747,0.3891327270618717,0.21528392111704678,0.032607626065875965,-0.017789908018563085,-0.008981179887363414,0.04150500644155099,0,-0.001865275893693421,-0.008894960986921012,-0.017789908018563085,-0.00711596309182757,0.20735560667438105,0.7719029939265536,0.08691001905987829,0.6744485649038807,7.073192311642684E-8,6.911980509178684E-7,3560120.5552021246
1800,3.678708237189897,0.20944748367319316,0.3887481169896077,0.21512297650670245,0.03374093342650601,-0.018407931291368154,-0.009302620616553013,0.042953548008517035,0,-0.0019395097329307155,-0.009203968615701271,-0.018407931291368154,-0.0073631724429779775,0.21443893751530307,0.766035861453853,0.09152245043503009,0.6911221777170883,7.217684405660622E-8,6.89749163092458E-7,3683695.251038365
1860,3.6856548197304275,0.20860306438438467,0.3883715728687878,0.2149658635006086,0.03485584053012933,-0.019012240543184743,-0.00961778460048628,0.04437018125963086,0,-0.002012920189516125,-0.00950611666095859,-0.019012240543184743,-0.007604895963515571,0.22152224930912037,0.7601687027822036,0.09615482262259417,0.7077349997484204,7.357983464563891E-8,6.88342633135611E-7,3804487.8729181685
1920,3.692177609061916,0.20778256246872803,0.38800679609624383,0.214814400183513,0.03592953712816367,-0.01959695542764593,-0.009924216614548988,0.045742108149655535,0,-0.002085399731588557,-0.009798488295610992,-0.01959695542764593,-0.00783878206281187,0.2286055955827342,0.7543015386998455,0.10052463504931072,0.7252933455637365,7.494681180328487E-8,6.869719491590707E-7,3921366.1081870575
1980,3.698038535484972,0.20699744835414866,0.387656665839319,0.21466999331975872,0.036960670799844976,-0.020157537584768077,-0.010220004086338583,0.0470586770495235,0,-0.002156853240150681,-0.010078764721701411,-0.020157537584768077,-0.00806301525442451,0.23568893254079387,0.7484343909026993,0.1045811610907591,0.7441317066001524,7.625699098349656E-8,6.85658703039116E-7,4033387.964677957
2040,3.703307858699984,0.20625252922874412,0.38732395568488887,0.2145349544376875,0.03794353682545076,-0.020689635274320464,-0.01050542642243513,0.04831195090184764,0,-0.0022292773618463376,-0.01034487155042665,-0.020689635274320464,-0.00827585414568651,0.24277226791059753,0.7425672482424399,0.10865567955242565,0.762902929328998,7.749985554768832E-8,6.844130569197937E-7,4139698.753674787
2100,3.7080837100834065,0.20555529582567705,0.3870096540283867,0.21441097430310715,0.03888648151214555,-0.021191762010488724,-0.010781936196287558,0.04950078641041024,0,-0.002304913198738325,-0.010595836790701732,-0.021191762010488724,-0.00847670352837473,0.24985559528511464,0.7367000788652439,0.1126865612055324,0.7818244391503755,7.865806736465072E-8,6.832521553077458E-7,4240031.0230014995
2160,3.7127199049247825,0.20489159141155083,0.38671279008843773,0.21429824290269467,0.039778459846423996,-0.021665557716479843,-0.011051728007137138,0.0506298320674307,0,-0.0023852805820425873,-0.010832807207318943,-0.021665557716479843,-0.008666227589935835,0.25693892237564403,0.7308331395815016,0.11631256915089237,0.8022974010174119,7.975791485764762E-8,6.821492824282529E-7,4334686.63981956
2220,3.717228497727329,0.20426055835297424,0.38643167806661594,0.21419626378776185,0.04062966008123849,-0.022113790693137132,-0.011316636253078105,0.0517062004565392,0,-0.0024711311475382612,-0.011056873511612424,-0.022113790693137132,-0.008845509911277387,0.26402225330553813,0.7249660676443132,0.11985034610916853,0.8231443639554757,8.080048589575199E-8,6.811048224970528E-7,4424243.772416813
2280,3.7216611713660916,0.20366139657114002,0.38616387510785166,0.21410351640423042,0.04145255963195299,-0.02254042053164915,-0.011577885259523303,0.05273845780985074,0,-0.0025620245937405172,-0.011269947479453313,-0.02254042053164915,-0.009016151031528705,0.27110557847493955,0.7190989190084394,0.123851400200557,0.8421600738617467,8.178625340755715E-8,6.801185305992382E-7,4509498.172627392
2340,3.72604526279544,0.20308654077491214,0.3859058032471473,0.2140157890283745,0.04225155917158207,-0.02295119594839815,-0.011833481255047,0.053735736650784086,0,-0.0026533711649464053,-0.011475660337833806,-0.02295119594839815,-0.009180475934684941,0.278188903461384,0.7132317806595161,0.12789307061976496,0.8610522240618157,8.272848346412215E-8,6.79173680141922E-7,4591602.638291311
2400,3.730361003504352,0.20252723308845255,0.38565758262874916,0.21393128197048636,0.043009505562845836,-0.02334596543040898,-0.012078946491617105,0.05469437397586541,0,-0.0027409281240657925,-0.011673153092194676,-0.02334596543040898,-0.00933837145282655,0.2852722513208238,0.7073646210283999,0.13149672658863076,0.8818271513535103,8.365015798221684E-8,6.782497403750958E-7,4670544.293505337
2460,3.73464445049892,0.20197834314123506,0.38542071934896366,0.21384927486140956,0.04370675019639951,-0.023722374892643394,-0.012310291406443572,0.05560591054953682,0,-0.002821612940545294,-0.011861181064188903,-0.023722374892643394,-0.009488953203617496,0.29235557428236564,0.7014974639028289,0.1353426117956412,0.9012844328488328,8.456431435822655E-8,6.773332179325413E-7,4745797.211638877
2520,3.738923847327829,0.20146257669557593,0.3851945146353415,0.21376907082819627,0.04437537656534065,-0.02408157562944395,-0.012527095737233047,0.05647161924309064,0,-0.0028946064611568524,-0.01204064612522425,-0.02408157562944395,-0.009632641375997434,0.2994389189342269,0.6956303248960756,0.14013915354180165,0.9170903078729852,8.542341424405882E-8,6.764702636191096E-7,4817535.325697363
2580,3.743244435680326,0.2009880760796128,0.38497942572770716,0.2136924749838406,0.04502908898474846,-0.024422879987069702,-0.012732198052530565,0.05729331331262718,0,-0.002963116347919113,-0.012211478739606521,-0.024422879987069702,-0.009769153760495622,0.3065222038027193,0.6897631713742015,0.14544080041747215,0.9312006561321612,8.621348737228497E-8,6.756802423971382E-7,4885683.184826536
2640,3.7476856156906413,0.20054293489208588,0.38477381206445127,0.21361946610026336,0.04566488722615686,-0.02474892587016658,-0.012928313989350832,0.058079066613435655,0,-0.0030288303586108387,-0.012374549275346137,-0.02474892587016658,-0.009899571459198685,0.3136055023163371,0.6838959880414968,0.15090581335932995,0.9446348468417936,8.695043522240799E-8,6.749417015123707E-7,4950835.435580074
2700,3.752390520348142,0.2001126616289376,0.3845767976234258,0.21354992250601473,0.04626993415652326,-0.025061131381399347,-0.013116974729292347,0.05883280381959679,0,-0.0030926125971767102,-0.012530540087074318,-0.025061131381399347,-0.010024457595761491,0.3206888112736304,0.6780288861471778,0.15671373402568664,0.9565969060828794,8.766313651828515E-8,6.742263882186184E-7,5013277.905490027
2760,3.7574239230897066,0.19968551926778733,0.38438805448679436,0.21348399779811342,0.04683022191734534,-0.02536004206865082,-0.013299059663614103,0.059555353275430954,0,-0.0031551348712602176,-0.012680092208146225,-0.02536004206865082,-0.010144014386689028,0.3277721423805782,0.6721616932776957,0.16291864170550913,0.9672315387358561,8.837765368391477E-8,6.735108873051913E-7,5073034.758943249
2820,3.762603398959282,0.19927940683979575,0.38420617362208476,0.21342121704112368,0.04737752948287891,-0.025647911678455093,-0.01347610017003182,0.0602520353056693,0,-0.003216983377214167,-0.012823969495622463,-0.025647911678455093,-0.010259165233342237,0.3348554778050162,0.66629453127999,0.1695827267208825,0.975930549126586,8.905309961852613E-8,6.728326366211276E-7,5130536.704531043
2880,3.7679018591103626,0.198897853736085,0.38403119661218615,0.21336123838588134,0.04791666325693417,-0.02592469388011127,-0.013647443211000329,0.060922921188557286,0,-0.0032774752171664564,-0.012962400608304604,-0.02592469388011127,-0.010369885066354072,0.34193886704276677,0.6604273703106085,0.17688741005575542,0.9818785684076491,8.968672606517852E-8,6.721986843901476E-7,5185840.550292756
2940,3.773473634815589,0.19853234609655077,0.38386211480759114,0.21330360152227493,0.048442080067923186,-0.026192001567463822,-0.013813605663549774,0.0615716392688568,0,-0.0033365704594393265,-0.013095999569322602,-0.026192001567463822,-0.01047680071487248,0.3490222019398465,0.6545601682368628,0.18475553221583,0.9861718029890002,9.029121770661841E-8,6.715924342278316E-7,5239272.518593221
3000,3.779230977700958,0.19817070755321464,0.3836979247060922,0.21324896787843808,0.04894697493307829,-0.02645143541731553,-0.013977689712526931,0.06220405062569125,0,-0.0033967417114966125,-0.013225736651906487,-0.02645143541731553,-0.010580573950180618,0.3561054999794723,0.648693025118,0.19294294607064036,0.9887245258551468,9.088959904355716E-8,6.709917748086103E-7,5291172.115570673
3060,3.7849675117179373,0.19781164497429363,0.3835392410004633,0.21319884851354645,0.049427712947687295,-0.02670203738765172,-0.014141722635765533,0.06281887951619404,0,-0.0034604553148993872,-0.013351042287265243,-0.02670203738765172,-0.010680814880602992,0.36318894540035884,0.6428258892911287,0.20146970360112132,0.990416266635545,9.148519126001158E-8,6.703950889437984E-7,5341243.446231989
