% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:17"
% Dimension,0
% Nodes,7410
% Expressions,9
% Description,"overpot_electrolyte, overpot_electrolyte_ohmic, overpot_electrolyte_concentration, overpot_ct, equilibrium_pot, overpot_rest, Cell potential, Number of cycles, Cell current"
% t,overpot_electrolyte (V),overpot_electrolyte_ohmic (V),overpot_electrolyte_concentration (V),overpot_ct (V),equilibrium_pot (V),overpot_rest (V),liion.cdc1.phis0 (V),liion.cdc1.cycle_counter,liion.cdc1.Icell (A)
1380,0.1182759962693943,0.04688315197370937,0.07139284429568493,0.0497659510477233,3.638007366148671,0.052141296039149104,3.8581906095049376,0,0.8479272327816025
1410,0.11913080749812192,0.04726302324074162,0.0718677842573803,0.04968367051689713,3.6426608875243853,0.05184817153191,3.8633235370713144,0,0.8479272327816015
1440,0.11989492696827302,0.04757800251771728,0.07231692445055574,0.049641668317777186,3.64712757956378,0.05168674881847128,3.8683509236683014,0,0.8479272327816015
1470,0.12064686591002964,0.04790551581904532,0.07274135009098431,0.049694030467486786,3.6514156558255344,0.051672743003251045,3.873429295206302,0,0.8479272327816019
1500,0.12137051888205762,0.04821473783887282,0.07315578104318479,0.0496509276757643,3.65585095896133,0.05163995751446661,3.8785123630336185,0,0.8479272327816014
1530,0.12211639540811223,0.04854921708908859,0.07356717831902364,0.049761911345150636,3.660370757753345,0.05159611401909184,3.8838451785256995,0,0.8479272327816018
1560,0.12289776813497286,0.04889853441855377,0.07399923371641909,0.049997759718226724,3.664853965735017,0.05163134915405568,3.8893808427422725,0,0.8479272327816018
1590,0.12357679921997741,0.04917711381923539,0.07439968540074202,0.050037177322323295,3.669559851266763,0.05162871661752366,3.8948025444265872,0,0.8479272327816021
1620,0.12420874099353366,0.049449077700276116,0.07475966329325753,0.05018953489981272,3.674343072611009,0.051660006035408296,3.9004013545397638,0,0.8479272327816022
1650,0.12479463942923508,0.04970026074831748,0.07509437868091759,0.050355437595583086,3.6793696893861094,0.05163540120817195,3.9061551676190995,0,0.8479272327816021
1680,0.12531017366628183,0.0499196122942307,0.07539056137205113,0.05040204740102492,3.684602796573416,0.05174260740042838,3.912057625041151,0,0.8479272327816011
1710,0.12577505796418748,0.0501215197668669,0.07565353819732057,0.05067100447529142,3.6900444881942507,0.05168741840395075,3.9181779690376803,0,0.8479272327816016
1740,0.12618262078248793,0.050301125131323725,0.0758814956511642,0.050822864022442904,3.6959412499802,0.05161051226604385,3.9245572470511747,0,0.847927232781602
1770,0.12663387820523503,0.05052277804669624,0.07611110015853878,0.05106473408924311,3.7019999915157187,0.051670970947413686,3.9313695747576105,0,0.8479272327816016
1800,0.12707682785665586,0.0507308911787873,0.07634593667786857,0.051325790552933924,3.708431875599295,0.05166773642700587,3.9385022304358905,0,0.8479272327816015
1830,0.12747422141460552,0.05091785470802477,0.07655636670658075,0.05153542286955698,3.7152004557953813,0.051647684513777825,3.9458577845933216,0,0.8479272327816015
1860,0.127839499425476,0.05109685715454664,0.07674264227092936,0.05173006935744283,3.722328488526271,0.05162679655608304,3.953524853865273,0,0.8479272327816024
1890,0.12816687379936612,0.05125957588083632,0.0769072979185298,0.05195539477959017,3.729732867459825,0.051640151880752355,3.9614952879195338,0,0.8479272327816015
1920,0.12844923737903136,0.0514006898051174,0.07704854757391395,0.0521324557332694,3.737412726173141,0.05170538633554167,3.9696998056209836,0,0.8479272327816013
1950,0.12867886495872033,0.051520029683616284,0.07715883527510405,0.05238585466348225,3.745378512835662,0.051679731074257856,3.9781229635321225,0,0.8479272327816016
1980,0.12887128810751564,0.0516237136632611,0.07724757444425454,0.052716045971698836,3.753452689485616,0.05170300163687047,3.986743025201701,0,0.8479272327816019
2010,0.12906466883534323,0.0517327472453025,0.07733192159004074,0.052959438739816754,3.761722424799537,0.0517761474179915,3.9955226797926886,0,0.8479272327816021
2040,0.1292510074684354,0.05184123050585356,0.07740977696258183,0.05326309171809818,3.769973902257806,0.05192183557297883,4.0044098370173185,0,0.8479272327816016
2070,0.12941773360350928,0.05193321696718228,0.077484516636327,0.05360344887731258,3.7782600121159513,0.052017926287001776,4.013299120883775,0,0.8479272327816016
2100,0.12963107156099274,0.05205665669211845,0.07757441486887429,0.053884677193895496,3.786646494791868,0.05206346624912589,4.022225709795882,0,0.8479272327816018
2130,0.12992054562700422,0.052215778270093854,0.07770476735691037,0.05418324231809827,3.7949386112978516,0.05222868609856138,4.0312710853415155,0,0.8479272327816015
2160,0.13027924963707363,0.05240387849693417,0.07787537114013945,0.054651924879941596,3.803200257098333,0.05225249539872359,4.040383927014072,0,0.8479272327816014
2190,0.1307041993278706,0.05262550627541567,0.07807869305245493,0.05509907402161516,3.811462589875055,0.0523796851039563,4.049645548328497,0,0.8479272327816016
2220,0.13121148614179162,0.052881936347420465,0.07832954979437115,0.05573641227699881,3.8194441786077693,0.052565301855751034,4.058957378882311,0,0.8479272327816015
2250,0.13172966575166625,0.053126445765471916,0.07860321998619434,0.05622373795920649,3.827530828600126,0.05273828394057814,4.068222516251577,0,0.8479272327816011
2280,0.13221954354100035,0.05334900505081421,0.07887053849018613,0.056746242184976495,3.8352696025642397,0.05306473600797229,4.077300124298189,0,0.8479272327816019
