% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_6E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 16:24"
% Dimension,1
% Nodes,397
% Expressions,41
% Description,Line graph
% Arc length (µm),genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot
1568.9909980498392,1000.0000000000013,1023.5512627095849,1048.4770046255974,1073.5178286821204,1098.7728520469018,1124.2087382647273,1149.8346058167763,1175.6256521053751,1201.6325597216369,1227.5316837867733,1254.0175926979725,1280.6117072068614,1307.3804282218114,1334.2177766222403,1361.1072837742672,1388.0327319971093,1414.9087160321058,1441.719339929394,1468.3018358425159,1495.779025002804,1522.0436540855158,1548.2161374738812,1573.9659336283219,1599.699830786129,1625.167806224905,1650.3162915178666,1675.4057663045721,1699.8155412571464,1723.961421485063,1747.773910107497,1771.1650255551117,1794.1871552378589,1816.8005428392573,1838.9092514706433,1860.5228329068532,1881.8359182380286,1902.9453302234958,1923.6766718153551,1944.02549439319,1963.9728973208087,1983.560554315663
1647.4405479523311,1000.0000000000015,1023.5684561380167,1048.4847928317856,1073.5272498072404,1098.7748187467587,1124.208429000161,1149.8322033555726,1175.6265424604876,1201.631311797731,1227.5389049777275,1254.0200104965943,1280.6123476523487,1307.378905934144,1334.2120984633548,1361.0975599248522,1388.0185830052828,1414.8886637373598,1441.687781667657,1468.2620477769208,1495.6360745278314,1521.774626104984,1548.0166648306204,1573.7833935834537,1599.5365267005027,1625.000429922259,1650.1404366085721,1675.207023827383,1699.5963452058186,1723.7305686044037,1747.511814813222,1770.8954383884106,1793.9023447173536,1816.4976310330503,1838.588506873593,1860.1691818667193,1881.4978771077358,1902.5733053903912,1923.2724592903564,1943.590690254842,1963.5102949935062,1983.067901573428
1725.8900978548231,1000.0000000000018,1023.5863710881143,1048.491077979015,1073.5360481437758,1098.7748685334564,1124.2058847321346,1149.8274574286186,1175.626201526244,1201.6286909741946,1227.5497626067404,1254.024050407638,1280.614279415629,1307.3777009245405,1334.2064060285852,1361.0873370491174,1388.003079955208,1414.866576377511,1441.6542055014843,1468.2197735844954,1495.4705192711497,1521.5025492684608,1547.808191404121,1573.596500176405,1599.368227737683,1624.82782551179,1649.9587397852229,1674.9950259089535,1699.3675079187512,1723.4893250418804,1747.2387817160738,1770.6118588658628,1793.6007269363267,1816.175016149103,1838.2467573989331,1859.797263791319,1881.1360197708084,1902.1753183545063,1922.8396543477795,1943.1243666322025,1963.0141864605378,1982.5406125770749
1804.339647757315,1000.0000000000016,1023.6055372760425,1048.4966336426976,1073.5450338964135,1098.7739287631455,1124.2020771504865,1149.8213858863041,1175.625554082858,1201.6256531287838,1227.5650928220723,1254.0307781300658,1280.6186164818685,1307.3779949335287,1334.2019386395946,1361.077935879152,1387.9876343473056,1414.8439856273553,1441.620242083545,1468.1768157425588,1495.2853041339072,1521.2298481938847,1547.593313241793,1573.4077797481898,1599.1974452444808,1624.652581343271,1649.7739775856032,1674.7729864773405,1699.1323632931976,1723.2412408383473,1746.9587424233328,1770.3184598908022,1793.286716600715,1815.837445664038,1837.8890718477073,1859.412569523766,1880.756015481536,1901.7572116737356,1922.3841741994497,1942.6322259877393,1962.4899978906144,1981.9839036334288
1882.7891976598069,1000.0000000000019,1023.6255656378929,1048.5013048726673,1073.55403243445,1098.771991270447,1124.1970279539273,1149.814056959735,1175.624565344897,1201.6221785535122,1227.5844824740018,1254.040028645738,1280.6252396262053,1307.3797209494116,1334.1986587339704,1361.069357887165,1387.9722531894627,1414.8209218596073,1441.5859799918885,1468.1332868453464,1495.0828044821724,1520.9589933849022,1547.3736773173157,1573.218155301428,1599.0245291956971,1624.4747684543045,1649.5860329441682,1674.5412755377104,1698.891039459152,1722.9862163953462,1746.6716391699322,1770.0150662418625,1792.9601362554172,1815.4847365644148,1837.5151422933031,1859.0147236670782,1880.357054266176,1901.3183653537355,1921.9055893811822,1942.1140271959882,1961.9372199243437,1981.3967726231015
1961.238747562299,1000.0000000000019,1023.6457548637909,1048.504679769018,1073.5626520626147,1098.768864886278,1124.1905607870524,1149.8053417440624,1175.6229911763808,1201.6180359550976,1227.6072123431534,1254.0513753972402,1280.633795386652,1307.3825837911493,1334.1963202664163,1361.061413234258,1387.9567522626487,1414.7971986303517,1441.5513177144248,1468.0891389737144,1494.8657149637627,1520.6935991029231,1547.1513329397817,1573.0287586864822,1598.8497249261752,1624.2942323899017,1649.3944959264597,1674.2999768318925,1698.6435063779963,1722.7239147615749,1746.3772887110217,1769.701144781816,1792.6205129847917,1815.1164434247064,1837.124343732462,1858.6031984935742,1879.937836340085,1900.8577831150499,1921.4031063113152,1941.569160544797,1961.355108406608,1980.778081306003
2039.688297464791,1000.0000000000023,1023.6656777413828,1048.50683705932,1073.571035345672,1098.7650353703893,1124.1832063422455,1149.7958965112375,1175.6213725329642,1201.6138460219202,1227.633224733206,1254.0652974479672,1280.6449230621288,1307.3873476569954,1334.1958733457318,1361.0552528367944,1387.942496307141,1414.7742852290703,1441.5180360469985,1468.046419922833,1494.6399001644493,1520.441779969002,1546.9320836002858,1572.8444535564372,1598.6769276723367,1624.1146285828215,1649.2030988237452,1674.0538783847285,1698.3947698365341,1722.4594862900647,1746.0813775913234,1769.3826092091324,1792.2739957254669,1814.739164610121,1836.7236090299502,1858.185830587399,1879.5053238077317,1900.3831338293012,1920.8849197329203,1941.006185190105,1960.7519830214967,1980.1353342723378
2118.137847367283,1000.0000000000019,1023.684380083188,1048.5075445217183,1073.5787467146006,1098.760562871658,1124.1751558007456,1149.7860760646336,1175.6197681349634,1201.6097172963414,1227.6614282075461,1254.0813988290831,1280.6583176252984,1307.393863614684,1334.1973034124553,1361.0509183638042,1387.9296031802169,1414.7523332504054,1441.486426812796,1468.0053918719934,1494.4120528132053,1520.2093046258096,1546.7200706421715,1572.6674040792782,1598.5069351442,1623.936060234061,1649.011460414878,1673.8041959572531,1698.1450131753538,1722.1927162616828,1745.7836665350032,1769.0593183522308,1791.9204199961473,1814.3528781540774,1836.312688971827,1857.7620636066636,1879.0581681870515,1899.8931439767457,1920.3497057287711,1940.4237276660604,1960.1258346924553,1979.465364496762
2196.587397269775,1000.0000000000022,1023.7000103547385,1048.5052780839999,1073.5840383705604,1098.7538646818023,1124.164852112842,1149.7743412734744,1175.6164112684235,1201.6038404087278,1227.6892928496807,1254.0974236948862,1280.6716300509536,1307.399765797528,1334.198164818965,1361.0458237326222,1387.9153561119874,1414.7284443796273,1441.453381906188,1467.9626532343455,1494.1817243913645,1519.9929719504585,1546.5121049001461,1572.4932836319072,1598.3347064408372,1623.7529032250409,1648.8133300981551,1673.5452858152923,1697.887303628435,1721.9162711715053,1745.4763075979602,1768.7234535915288,1791.551807199407,1813.9496172677132,1835.8834260321178,1857.323031998584,1878.5878185764498,1899.379219352796,1919.7889648787334,1939.813771696917,1959.4692244306093,1978.761388561577
2275.036947172267,1000.0000000000018,1023.7122455832994,1048.4999432036902,1073.5866754242109,1098.7448150177986,1124.1522330456385,1149.760672447252,1175.6111502342105,1201.5961032135556,1227.7163319162275,1254.1130716902012,1280.6845213477889,1307.4047785925134,1334.1981707923353,1361.0396996627367,1387.8995059877695,1414.7023491415803,1441.4186081214232,1467.91782590277,1493.9503202908807,1519.7924572266897,1546.3083026776205,1572.3217247194834,1598.159858297209,1623.5646811198205,1648.6081023180495,1673.2771962874522,1697.62116879225,1721.6296897026182,1745.1588042528685,1768.3748148942084,1791.1681230184608,1813.5295948658008,1835.4362268416617,1856.8690171190412,1878.0950985192155,1898.8423071846476,1919.2039427268485,1939.178149774225,1958.784858548299,1978.0273931910392
